procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 18954164 361292 4674116    0    0   856  9040 70138 236172 22  9 66  3  0
 1  0      0 18811196 361436 4676432    0    0   187 49048 63240 196621 20  8 72  0  0
 2  0      0 18843100 361456 4670228    0    0    20     0 52888 121425 15  6 79  0  0
 2  0      0 18852368 361484 4670276    0    0    12   836 53736 123490 14  6 80  0  0
 8  1      0 18773076 362164 4673348    0    0  1138  3088 55754 163058 16  8 75  0  0
 6  0      0 18642876 362744 4681564    0    0  6682     0 61922 198124 21  8 71  0  0
 2  0      0 18551004 362812 4683448    0    0   246  1884 57205 146191 17  7 76  0  0
17  0      0 18565104 363012 4683808    0    0   387   252 52794 127613 15  5 79  0  0
 1  0      0 18553420 363012 4684608    0    0    46     0 52282 124880 15  6 79  0  0
 1  0      0 18552012 363024 4684648    0    0    12     0 52698 135498 15  7 78  0  0
 2  0      0 18562840 363048 4684540    0    0     0  3040 52539 136522 16  7 77  0  0
 1  0      0 18580240 363072 4696828    0    0     0   188 49114 116577 14  6 80  0  0
 1  0      0 18587232 363072 4696828    0    0     0     0 47858 109570 14  6 80  0  0
 1  0      0 18589296 363072 4696836    0    0     0     0 49802 114690 15  6 79  0  0
 2  0      0 18656016 363076 4696860    0    0     4     0 53671 153733 16  8 77  0  0
 1  0      0 18658260 363076 4696892    0    0     0     8 51330 126698 15  7 79  0  0
 1  0      0 18665364 363100 4697268    0    0   254   872 49937 113354 14  6 80  0  0
 1  0      0 18667280 363100 4697292    0    0     0     0 49281 112386 14  6 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 18652364 363108 4698240    0    0     0   188 49830 115454 15  6 78  0  0
 3  0      0 18655396 363108 4698280    0    0     0     0 50064 124837 14  6 79  0  0
 1  0      0 18658640 363108 4698292    0    0     0     0 49584 121826 15  6 79  0  0
17  0      0 18661644 363108 4698284    0    0     0    72 48209 109983 14  6 80  0  0
 1  0      0 18664856 363112 4698284    0    0     4     0 50369 116621 14  6 80  0  0
 4  0      0 18669464 363128 4698300    0    0     8    88 50089 114358 15  6 79  0  0
 7  0      0 18662644 363132 4698296    0    0     4     0 50940 135833 15  8 78  0  0
 8  0      0 18660792 363156 4698324    0    0     0 21276 51626 127300 15  7 79  0  0
12  0      0 18662508 363156 4698372    0    0     0    12 49209 112075 15  6 79  0  0
 1  0      0 18662328 363160 4698368    0    0     4     0 49389 111941 14  6 80  0  0
 1  0      0 18660420 363168 4698388    0    0     8    64 50531 116575 15  7 78  0  0
 2  0      0 18657244 363172 4698420    0    0     4     0 51534 127824 15  7 78  0  0
 1  0      0 18659320 363320 4698448    0    0   136   444 50026 123031 14  5 81  0  0
 1  0      0 18658828 363328 4698444    0    0     0   100 48631 110519 15  6 79  0  0
 2  0      0 18663008 363340 4698424    0    0     4    76 48725 110291 14  6 79  0  0
 1  0      0 18644400 363340 4698800    0    0     0     0 50837 128253 15  7 78  0  0
10  0      0 18650456 363340 4699068    0    0     0    68 49381 123424 14  6 79  0  0
 1  0      0 18645116 363340 4699076    0    0     0   152 53504 135250 16  7 77  0  0
 1  0      0 18649976 363364 4702000    0    0     0   192 41320 81868 12  4 85  0  0
 3  0      0 18596304 363400 4712688    0    0    20  8468 29480 47582  9  1 90  0  0
 1  0      0 18575416 363404 4728992    0    0     4     0 29538 48291  9  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 18666552 363428 4735152    0    0     0   248 28392 55836  8  1 91  0  0
 1  0      0 18665468 363452 4735184    0    0     0   136 27422 57023  8  1 91  0  0
 1  0      0 18691124 363452 4729724    0    0     0    72 27158 45323  9  0 91  0  0
 1  0      0 18699868 363516 4730096    0    0    76 21156 30343 52484  8  1 91  0  0
 1  0      0 18708684 363516 4730104    0    0     0     0 26726 45702  7  0 92  0  0
 1  1      0 18686856 364936 4735156    0    0     4  8228 29083 58142  8  1 88  3  0
 1  0      0 18677596 366096 4736464    0    0     0  6648 29895 53698  8  1 89  2  0
 1  0      0 18688860 366096 4736496    0    0     0  3044 31530 49382 10  1 89  0  0
 1  0      0 18677700 366120 4736472    0    0     0   396 24075 42493  7  0 93  0  0
 1  0      0 18668296 366144 4736472    0    0     0   148 21513 39049  7  0 93  0  0
 1  1      0 18655724 368620 4739012    0    0  2612     0 22156 39585  7  0 92  0  0
 1  0      0 18631740 369044 4769520    0    0  1040     0 23004 40086  7  1 91  1  0
 1  0      0 18630768 369044 4766764    0    0     0     0 21063 42967  7  0 93  0  0
 1  0      0 18622808 371628 4766680    0    0     0 14764 28053 53230  7  1 87  5  0
 1  0      0 18622396 371628 4766752    0    0     0     0 21507 53332  7  0 93  0  0
 1  0      0 18616280 371628 4766784    0    0     0     0 23499 56978  7  1 92  0  0
 2  0      0 18612944 371628 4768968    0    0     4     4 23018 44389  7  1 92  0  0
 1  0      0 18600976 371664 4768956    0    0     8   284 48007 130737 16  6 78  0  0
 1  0      0 18604720 371672 4769016    0    0    12  1084 57082 158351 16  8 76  0  0
 4  1      0 18600576 372728 4771612    0    0     0  5932 57548 152138 16  8 75  2  0
 2  0      0 18596036 374384 4770084    0    0   136 11988 58394 153951 16  9 73  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 18608712 374384 4769972    0    0     0     0 50606 118140 14  7 78  0  0
 1  0      0 18609600 374384 4766892    0    0     0     0 50268 115895 15  6 79  0  0
 1  0      0 18609336 374384 4766908    0    0     0     0 53566 133308 16  7 77  0  0
 1  0      0 18585760 374384 4772324    0    0     0     0 57352 149278 17  7 75  0  0
 1  0      0 18600096 374384 4772216    0    0     0     0 52103 122787 15  6 79  0  0
 1  0      0 18599068 374396 4772220    0    0     0   332 51329 120377 16  6 78  0  0
 4  0      0 18601144 374396 4769308    0    0     0     0 51006 128619 16  8 76  0  0
 1  0      0 18591728 374408 4770016    0    0  1072     0 52056 150323 16  7 77  0  0
 1  0      0 18591420 374408 4770668    0    0   508     8 51282 129981 15  7 77  0  0
 1  0      0 18591688 374408 4770864    0    0   128     0 51912 136801 15  6 79  0  0
 1  0      0 21736696 374432 4770792    0    0     0   256 40059 96996 12  7 81  0  0
 1  0      0 22818768 374432 4750140    0    0     0     8 9768 3793  0  3 97  0  0
